"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1568",225260,"Brutal Legend","2013/2/26",1,"Double Fine Productions","Double Fine Productions","windows;mac;linux",0,"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure;Strategy","Action;Comedy;Adventure",59,12816,905,461,308,"2000000-5000000",10.99
"1569",225280,"Full Mojo Rampage","2014/5/8",1,"Over the Top Games","Over The Top Games","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Indie;RPG","Action;RPG;Rogue-like",25,971,167,319,390,"200000-500000",10.99
"1573",225420,"Cities in Motion 2","2013/4/2",1,"Colossal Order Ltd.","Paradox Interactive","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop","Simulation;Strategy","Simulation;Strategy;Management",51,1130,873,157,207,"500000-1000000",14.99
"1574",225540,"Just Cause? 3","2015/11/30",1,"Avalanche Studios","Square Enix","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Action;Adventure","Open World;Action;Destruction",66,37747,14024,2086,438,"2000000-5000000",11.99
"1575",225600,"Blade Symphony","2014/5/7",1,"Puny Human","Puny Human","windows;mac;linux",0,"Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Partial Controller Support;Steam Cloud;Stats;Includes level editor;Includes Source SDK","Action;Indie","Fighting;Action;Multiplayer",26,3129,1537,413,370,"200000-500000",0
"1576",225640,"Sacred 2 Gold","2012/12/21",1,"Ascaron","Deep Silver","windows",0,"Single-player","RPG","RPG;Open World;Hack and Slash",0,1177,495,69,100,"500000-1000000",10.99
"1577",225840,"Sven Co-op","2016/1/22",1,"Sven Co-op Team","Sven Co-op Team","windows",18,"Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support;Steam Cloud","Action;Casual;Free to Play;Indie","Free to Play;Multiplayer;Co-op",0,12211,1173,407,56,"2000000-5000000",0
"1584",226740,"Monster Loves You!","2013/3/18",1,"Radial Games Corp;Dejobaan Games, LLC","Radial Games Corp","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available","Adventure;Casual;Indie;RPG;Simulation","Casual;Indie;Simulation",14,827,247,180,207,"200000-500000",6.99
"1587",226840,"Age of Wonders III","2014/3/31",1,"Triumph Studios","Paradox Interactive","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor","RPG;Strategy","Strategy;Turn-Based Strategy;Fantasy",74,4479,1132,984,861,"500000-1000000",22.99
"1588",226860,"Galactic Civilizations III","2015/5/14",1,"Stardock Entertainment","Stardock Entertainment","windows",0,"Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats","Indie;Strategy","Strategy;Space;Turn-Based Strategy",98,6051,1891,199,264,"500000-1000000",23.79
"1590",227000,"Primordia","2012/12/5",1,"Wormwood Studios","Wadjet Eye Games","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Adventure;Indie","Point & Click;Adventure;Post-apocalyptic",29,1863,49,234,394,"100000-200000",6.99
